fecha_captura,anunciante,texto,titulo,destino_url,formato,plataformas,cta,fecha_inicio,activo,variantes,media_ia,url_biblioteca,angulo,protagonista,cifra_concreta,que_vende
2026-08-05,EquipaGym (inv.),El gimnasio de Marcela partió con 12 socios. Hoy tiene 240 y ninguna máquina propia. Todo su equipamiento es arrendado.,,https://equipagym-ejemplo.cl/arriendo,VIDEO,FACEBOOK|INSTAGRAM,LEARN_MORE,2026-01-08,si,0,no,https://www.facebook.com/ads/library/?id=EJEMPLO,caso_de_tercero,un_tercero,si,arriendo
2026-08-05,EquipaGym (inv.),El gimnasio de Marcela partió con 12 socios. Hoy tiene 240 y ninguna máquina propia. Todo su equipamiento es arrendado.,,https://equipagym-ejemplo.cl/arriendo,VIDEO,FACEBOOK|INSTAGRAM,LEARN_MORE,2026-08-01,si,0,no,https://www.facebook.com/ads/library/?id=EJEMPLO,caso_de_tercero,un_tercero,si,arriendo
2026-08-05,EquipaGym (inv.),El gimnasio de Marcela partió con 12 socios. Hoy tiene 240 y ninguna máquina propia. Todo su equipamiento es arrendado.,,https://equipagym-ejemplo.cl/arriendo,VIDEO,FACEBOOK|INSTAGRAM,LEARN_MORE,2026-08-01,si,0,no,https://www.facebook.com/ads/library/?id=EJEMPLO,caso_de_tercero,un_tercero,si,arriendo
2026-08-05,EquipaGym (inv.),3 errores al comprar tu primera trotadora comercial. El tercero cuesta caro.,,https://equipagym-ejemplo.cl/guia,IMAGE,FACEBOOK|INSTAGRAM,LEARN_MORE,2026-04-10,si,0,no,https://www.facebook.com/ads/library/?id=EJEMPLO,dolor,tu,no,producto_nuevo
2026-08-05,EquipaGym (inv.),3 errores al comprar tu primera trotadora comercial. El tercero cuesta caro.,,https://equipagym-ejemplo.cl/guia,IMAGE,FACEBOOK|INSTAGRAM,LEARN_MORE,2026-08-01,si,0,no,https://www.facebook.com/ads/library/?id=EJEMPLO,dolor,tu,no,producto_nuevo
2026-08-05,EquipaGym (inv.),Equipa tu sala completa con respaldo técnico incluido.,,https://equipagym-ejemplo.cl/,IMAGE,FACEBOOK|INSTAGRAM,LEARN_MORE,2026-05-30,si,0,no,https://www.facebook.com/ads/library/?id=EJEMPLO,promesa_de_resultado,tu,no,producto_nuevo
2026-08-05,FitPro Arriendo (inv.),Arma tu sala completa desde 0 sin comprar ni una máquina. Planes mensuales para gimnasios que recién parten.,,https://wa.me/56900000001,VIDEO,FACEBOOK|INSTAGRAM,LEARN_MORE,2026-03-06,si,0,no,https://www.facebook.com/ads/library/?id=EJEMPLO,promesa_de_resultado,tu,no,arriendo
2026-08-05,FitPro Arriendo (inv.),Arma tu sala completa desde 0 sin comprar ni una máquina. Planes mensuales para gimnasios que recién parten.,,https://wa.me/56900000001,VIDEO,FACEBOOK|INSTAGRAM,LEARN_MORE,2026-08-01,si,0,no,https://www.facebook.com/ads/library/?id=EJEMPLO,promesa_de_resultado,tu,no,arriendo
2026-08-05,FitPro Arriendo (inv.),Un gimnasio de barrio abrió con 80 socios y cero deuda en máquinas.,,https://wa.me/56900000001,IMAGE,FACEBOOK|INSTAGRAM,LEARN_MORE,2026-06-20,si,2,no,https://www.facebook.com/ads/library/?id=EJEMPLO,caso_de_tercero,un_tercero,si,arriendo
2026-08-05,FitPro Arriendo (inv.),Un gimnasio de barrio abrió con 80 socios y cero deuda en máquinas.,,https://wa.me/56900000001,IMAGE,FACEBOOK|INSTAGRAM,LEARN_MORE,2026-08-01,si,2,no,https://www.facebook.com/ads/library/?id=EJEMPLO,caso_de_tercero,un_tercero,si,arriendo
2026-08-05,MaquinasYa (inv.),La guía que usamos para dimensionar salas de 100 a 400 m2. Gratis esta semana.,,https://maquinasya-ejemplo.cl/guia,IMAGE,FACEBOOK|INSTAGRAM,LEARN_MORE,2026-06-14,si,0,no,https://www.facebook.com/ads/library/?id=EJEMPLO,oferta_directa,la_marca,si,producto_nuevo
2026-08-05,MaquinasYa (inv.),Trotadoras comerciales con 30% de descuento por cambio de temporada.,,https://maquinasya-ejemplo.cl/ofertas,DCO,FACEBOOK|INSTAGRAM,LEARN_MORE,2026-07-01,si,4,no,https://www.facebook.com/ads/library/?id=EJEMPLO,oferta_directa,la_marca,no,producto_nuevo
2026-08-05,MaquinasYa (inv.),Trotadoras comerciales con 30% de descuento por cambio de temporada.,,https://maquinasya-ejemplo.cl/ofertas,DCO,FACEBOOK|INSTAGRAM,LEARN_MORE,2026-08-01,si,4,no,https://www.facebook.com/ads/library/?id=EJEMPLO,oferta_directa,la_marca,no,producto_nuevo
2026-08-05,MaquinasYa (inv.),Trotadoras comerciales con 30% de descuento por cambio de temporada.,,https://maquinasya-ejemplo.cl/ofertas,DCO,FACEBOOK|INSTAGRAM,LEARN_MORE,2026-08-01,si,4,no,https://www.facebook.com/ads/library/?id=EJEMPLO,oferta_directa,la_marca,no,producto_nuevo
2026-08-05,MaquinasYa (inv.),Llegó el contenedor de julio: bicicletas de spinning nuevas.,,https://maquinasya-ejemplo.cl/spinning,CAROUSEL,FACEBOOK|INSTAGRAM,LEARN_MORE,2026-07-08,si,0,no,https://www.facebook.com/ads/library/?id=EJEMPLO,novedad,la_marca,no,producto_nuevo
2026-08-05,GimFuerte (inv.),Somos el proveedor de más de 200 gimnasios en Chile.,,https://gimfuerte-ejemplo.cl/,IMAGE,FACEBOOK|INSTAGRAM,LEARN_MORE,2026-06-30,si,0,no,https://www.facebook.com/ads/library/?id=EJEMPLO,autoridad,la_marca,si,producto_nuevo
2026-08-05,ProGymStore (inv.),¿Qué pasa cuando tu trotadora se echa a perder un lunes a las 7 de la tarde con la sala llena?,,https://progymstore-ejemplo.cl/tecnico,VIDEO,FACEBOOK|INSTAGRAM,LEARN_MORE,2026-07-05,si,0,no,https://www.facebook.com/ads/library/?id=EJEMPLO,dolor,tu,no,servicio_tecnico
2026-08-05,ProGymStore (inv.),Repuestos originales para las 5 marcas más usadas en Chile.,,https://progymstore-ejemplo.cl/repuestos,IMAGE,FACEBOOK|INSTAGRAM,LEARN_MORE,2026-07-10,si,2,no,https://www.facebook.com/ads/library/?id=EJEMPLO,promesa_de_resultado,la_marca,si,repuestos
